PLAYER_CODE,PLAYER_NAME,TOTAL_PENALTIES,AVERAGE_OVERALL_RATING
11754,Ruben Amorim,2243,75.0909090909091
11758,Eliseu,2019,73.90625
11759,"Carlos Milhazes,22",337,67.1666666666667
11760,Jorge Baptista,279,63.25
11778,Roversio,426,69.5714285714286
11788,"Rui Baiao,22",132,65.0
11795,Ferreira,177,61.0
11796,Briguel,1210,62.3225806451613
11798,Zeca,527,70.5
11801,Luis Olim,1010,63.0
11827,Fernando Cardozo,413,67.5
11829,Bruno Patacas,488,67.0
11833,de Oliveira Cleber Monteiro,478,66.1111111111111
11836,Marcelo Pereira Bruno,274,67.25
11840,Miguel Fidalgo,560,67.3333333333333
11849,Pedro Moreira,554,67.0909090909091
11851,Nuno Silva,312,61.8333333333333
11860,Jose Manuel Ze Gomes,467,65.7142857142857
11861,Bruno Mendes,164,64.0
11863,Danielson,641,69.0714285714286
11865,"Ferreira Delson,28",261,63.5
11876,Laranjeiro,375,64.0
11897,Flavio Meireles,504,69.0
11901,Ricardo Pessoa,546,64.4285714285714
12005,Ersen Martin,547,72.75
12099,"Marcel MBayo,25",354,64.8333333333333
12209,Tomas Kosicky,491,64.5384615384615
12245,Adam Nemec,1716,66.875
12246,Stanislav Sestak,894,71.9285714285714
12283,Robert Demjan,1635,63.7777777777778
12288,Jan Durica,542,73.2105263157895
12307,Miroslav Bozok,530,57.9166666666667
12310,Rudolf Urban,244,57.0
12318,Dusan Pernis,174,66.0
12320,Dalibor Pleva,240,59.2
12327,Matej Izvolt,423,59.0
12330,Peter Pekarik,944,73.1578947368421
12340,"Richard Zajac,28",273,64.2307692307692
12371,Kamil Kopunek,180,64.25
12374,Pavol Stano,946,63.5789473684211
12381,Jan Slovenciak,81,59.0
12386,Krisztian Nemeth,2182,69.03125
12405,Elvedin Dzinic,293,64.0
12418,Dragan Jelic,200,63.6666666666667
12431,Jure Travner,280,64.2
12454,Branko Ilic,973,67.4117647058823
12473,Marko Suler,731,66.5625
12574,Zlatan Ljubijankic,1223,70.35
12692,Kanu,1151,68.35
12763,Nicolae Ovidiu Herea,1351,68.4444444444444
12766,Cristian Sapunaru,1324,74.2272727272727
12985,Christos Karypidis,247,64.25
13033,Orestis Karnezis,535,71.08
13034,Michalis Sifakis,390,72.4117647058823
13131,Tomislav Pacovski,578,65.6875
13191,Ioannis Maniatis,1366,73.25
13225,Fabian Pawela,596,59.7
13301,Kamil Kuzera,729,60.3333333333333
13320,Krzysztof Kotorowski,499,62.4090909090909
13327,Pawel Sasin,515,60.0
13329,Blazej Telichowski,980,58.1
13334,Lukasz Madej,1428,65.04
13345,Pawel Kieszek,644,69.5
13349,Antoni Lukasiewicz,691,62.4
13350,Wojciech Szymanek,300,59.625
13376,Jakub Rzezniczak,874,66.52
13383,Maciej Korzym,1328,63.75
13390,Wojciech Skaba,576,60.4347826086956
13405,Marcin Malinowski,702,62.25
13410,Mariusz Zganiacz,560,64.9
13423,Marcin Wasilewski,1153,69.8235294117647
13425,Wahan Gevorgyan,495,61.5555555555556
